id,firstname,lastname,contactType,jobTitle,gender,description,birthday,favoriteEmail,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,companies,lastInteraction,nbInteractions,groups,Continent,Country,LinkedIn
01818132-8918-4769-82b7-59e8b1be92b4,Manel,Cerqueda Diez,person,,,,,,,andosinscapital.com,andosinscapital.com,,,Andorra,Andorra,Andosins Capital,,0,European Family Offices' Founders ,Europe,Andorra,-
03f87774-81d5-42a5-b075-fd469ed6a5bd,Yair Re'Em,,person,,,,,,,hp-ventures.com,hp-ventures.com,,,Berlin,Berlin,Hasso Plattner Ventures,,0,European Family Offices' Founders ,Europe,Germany,linkedin.com/company/hasso-plattner-ventures
06228e0d-2595-4395-8770-b5de2b5ee0e3,Thomas,Kottmann,person,,,,,,,fortiori.ch,fortiori.ch,,,Zug,Zug,Fortiori Family Office,,0,European Family Offices' Founders ,Europe,Switzerland,-
086957cf-f92f-4b9c-b514-edc177c9b98f,Daniel,Aegerter,person,,,,,,,armada.com,armada.com,,,Kusnacht,Kusnacht,Armada Investment Group,,0,European Family Offices' Founders ,Europe,Switzerland,linkedin.com/company/armada-investment-group-ag
0a31f87a-11e9-4d65-bddd-22e95b8e9c99,Thomas,Matter,person,,,,,,,mattergroup.ch,mattergroup.ch,,,Zurich,Zurich,Matter Group,,0,European Family Offices' Founders ,Europe,Switzerland,-
0a6fa184-b3b2-4c38-a7c8-e278f9bea82d,Matt,Klaeffling,person,,,,,,,kalbertfamilyoffice.com,kalbertfamilyoffice.com,,,Munich,Munich,Kalbert Family Office,,0,European Family Offices' Founders ,Europe,Germany,-
0b4a2740-8cda-4609-b294-d38743607d95,Roland,Staub,person,,,,,,,financesuisse.com,financesuisse.com,,,Zurich,Zurich,FS Finance Suisse,,0,European Family Offices' Founders ,Europe,Switzerland,-
0b62a398-5f2b-4aca-90b2-3cb7daf77974,Mohamed Omar,,person,,,,,,,-,-,,,London,London,W Investments,,0,European Family Offices' Founders ,Europe,United Kingdom,linkedin.com/company/w-investments
0cb1716d-6fff-47ce-957c-264f89f6288e,Fredrik,Tilander,person,,,,,,,backstage.se,backstage.se,,,Stockholm,Stockholm,Backstage,,0,European Family Offices' Founders ,Europe,Sweden,-
10e3fc85-84b3-41ff-b443-669fc56f121a,Steen,E.,person,,,,,,,ferguson.ch,ferguson.ch,,,London,London,Ferguson Partners Family Office,,0,European Family Offices' Founders ,Europe,United Kingdom,linkedin.com/company/ferguson-partners-family-office-limited
10f400a2-e916-416b-9b18-3dfa1cfe8bd0,Magnus,Brandberg,person,,,,,,,gullspanginvest.se,gullspanginvest.se,,,Stockholm,Stockholm,Gullspang Invest,,0,European Family Offices' Founders ,Europe,Sweden,linkedin.com/company/gullspangvc
