id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,groups,Founded Date,Investment Stage,Investor Type,Number of Exits,Number of Investments,Operating Status
d5f292a4-f46a-497f-ab85-709101e92cdf,Point72 Ventures,company,,"Artificial Intelligence (AI), Enterprise Software, Financial Services, FinTech",,https://p72.vc/,https://p72.vc/,,,"Sand Hill Road, Menlo Park, CA, USA 94025","Sand Hill Road, Menlo Park, CA, USA 94025","All VCs ,VC Founds - Seed - US/Europe",Mar-2016,"Early Stage Venture, Seed, Venture",Venture Capital,20,173,Active
ef6b8a7c-f1f6-44d1-b05f-5f2c231622e7,Powerhouse Capital,company,,"Audio, Events, Gaming, Media and Entertainment, Music, Ticketing, Video, Video Games",,powerhouse.vc,powerhouse.vc,,,"Los Angeles, California, United States","Los Angeles, California, United States","All VCs ,VC Founds - Seed - US/Europe",Jan-2019,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",Venture Capital,4,22,Active
3af79a83-0b02-4dca-88fb-a2cdd03560a4,Predictive VC,company,,"Finance, Financial Services, Venture Capital",,linkedin.com/company/predictive-venture-partners/,linkedin.com/company/predictive-venture-partners/,,,,,VC Founds - Seed - US/Europe,Jan-2020,,Venture Capital,,23,Active
f35755ed-d578-4018-880d-0434f213d4c9,Prefix Capital,company,,"Finance, Financial Services, Venture Capital",,prefixcapital.com,prefixcapital.com,,,"San Francisco, California, United States","San Francisco, California, United States","All VCs ,VC Founds - Seed - US/Europe",Jan-2019,"Convertible Note, Early Stage Venture, Seed",Venture Capital,,13,Active
fb6b1fd1-5b6d-4fe8-bb2b-8e7097467119,Primary Venture Partners,company,,"Developer Tools, E-Commerce, FinTech, Generative AI, Health Care, Manufacturing, PropTech, Small and Medium Businesses, Supply Chain Management",,https://www.primary.vc/,https://www.primary.vc/,,,"New York, New York, United States","New York, New York, United States",VC Founds - Seed - US/Europe,Jan-2015,"Early Stage Venture, Seed",Venture Capital,31,171,Active
6ce0731b-54e3-47a4-bc49-32cf13127ee2,Prime Movers Lab,company,,"Finance, Life Science, Venture Capital",,https://www.primemoverslab.com/,https://www.primemoverslab.com/,,,"Jackson, Wyoming, United States","Jackson, Wyoming, United States","All VCs ,VC Founds - Seed - US/Europe",Jan-2018,"Early Stage Venture, Late Stage Venture, Seed",Venture Capital,4,59,Active
454acedd-2a61-4b7e-862b-c9b3a65bec07,Primera Capital,company,,"Consumer, SaaS, Venture Capital",,primeracapital.com,primeracapital.com,,,"Oakland, California, United States","Oakland, California, United States",VC Founds - Seed - US/Europe,Jan-2007,"Early Stage Venture, Late Stage Venture, Seed",Venture Capital,8,35,Active
2bd05500-48bb-431a-a500-4773cb71dfe9,Primetime Partners,company,,"Business Development, Finance, Financial Services, Venture Capital",,linkedin.com/company/primetime-partners/,linkedin.com/company/primetime-partners/,,,"New York, New York, United States","New York, New York, United States","All VCs ,VC Founds - Seed - US/Europe",Jan-2020,,Venture Capital,,38,Active
22246231-891a-4a6e-b30a-2e0c9bd11719,Primus Capital Partners,company,,"Education, Financial Services, FinTech, Health Care, Information Technology, Internet, Software",,linkedin.com/company/1251496,linkedin.com/company/1251496,,,"Cleveland, Ohio, United States","Cleveland, Ohio, United States",VC Founds - Seed - US/Europe,Jan-1984,,Private Equity Firm,10,26,Active
29e84f3d-4b54-4426-a62d-72bea41cf559,Progression Fund,company,,,,https://www.progression.fund/,https://www.progression.fund/,,,"San Francisco, USA","San Francisco, USA","All VCs ,VC Founds - Seed - US/Europe",Jan-2020,"Early Stage Venture, Seed",Venture Capital,3,34,Active
7c198fd1-8445-4102-b7ec-43814892eeed,Propel VC,company,,"Cryptocurrency, Financial Services, FinTech, Insurance, InsurTech, Venture Capital, Web3",,linkedin.com/company/propel-venture-partners,linkedin.com/company/propel-venture-partners,,,"San Carlos, California, United States","San Carlos, California, United States",VC Founds - Seed - US/Europe,Feb-2016,"Early Stage Venture, Seed, Venture",Venture Capital,11,58,Active
406c67f0-6106-4835-a216-d3b47d784397,PS27 Ventures,company,,"Biotechnology, Clean Energy, CleanTech, E-Commerce, FinTech, Health Care, Software, Sustainability",,linkedin.com/company/9250227,linkedin.com/company/9250227,,,"Jacksonville, Florida, United States","Jacksonville, Florida, United States",VC Founds - Seed - US/Europe,Jan-2013,"Convertible Note, Early Stage Venture, Seed",Venture Capital,3,20,Active
4a4fccad-2757-4e09-9e3b-27fb3f07a89a,PTV Healthcare Capital,company,,"Health Care, Health Diagnostics, Venture Capital",,ptvhc.com,ptvhc.com,,,"Austin, Texas, United States","Austin, Texas, United States",VC Founds - Seed - US/Europe,Jan-2003,"Early Stage Venture, Late Stage Venture",Venture Capital,13,34,Active
fe41bd79-f1e2-4efc-9a0c-74ea06bb1cff,Pure Imagination Brands,company,,"Business Development, Finance, Financial Services",,linkedin.com/company/pure-imagination-brands/,linkedin.com/company/pure-imagination-brands/,,,"Santa Monica, California, United States","Santa Monica, California, United States",VC Founds - Seed - US/Europe,Jan-2019,,Venture Capital,2,51,Active
e4a822c7-428b-4ccc-ae65-3a4acc9fe7bd,Pureos Bioventures,company,,,,https://www.pureosbio.com/en/,https://www.pureosbio.com/en/,,,"Küsnacht, Zurich, Switzerland","Küsnacht, Zurich, Switzerland",VC Founds - Seed - US/Europe,,"Early Stage Venture, Seed, Venture",Venture Capital,3,25,Active
c5b843d4-2cf9-49a8-b31f-18b7eb3c3028,Qatar Investment Authority,company,,"Asset Management, Banking, Finance, Financial Services, Government",,qia.qa,qia.qa,,,"Doha, Ad Dawhah, Qatar","Doha, Ad Dawhah, Qatar",VC Founds - Seed - US/Europe,Jan-2005,"Late Stage Venture, Private Equity","Government Office, Private Equity Firm",27,87,Active
4875f8ad-3cf9-47db-9525-e3ec6c0ca009,QED Investors,company,,"Business Development, Business Intelligence, Financial Services, FinTech",,https://qedinvestors.com/,https://qedinvestors.com/,,,"Alexandria, Virginia, United States","Alexandria, Virginia, United States","All VCs ,VC Founds - Seed - US/Europe",Jan-2007,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",Venture Capital,39,321,Active
248fed1c-3cac-427e-bbc0-06d951e1a319,Quadrille Capital,company,,"Finance, Financial Services, Venture Capital",,quadrillecapital.com,quadrillecapital.com,,,🇫🇷 France,🇫🇷 France,"All VCs ,VC Founds - Seed - US/Europe",Jan-2001,"Early Stage Venture, Late Stage Venture, Private Equity",Venture Capital,11,45,Active
d40dfbf9-0ed0-49c5-9729-4a9685f1787e,Quaker Partners,company,,,,linkedin.com/company/quaker-partners,linkedin.com/company/quaker-partners,,,"Philadelphia, Pennsylvania, United States","Philadelphia, Pennsylvania, United States",VC Founds - Seed - US/Europe,Jan-2002,"Early Stage Venture, Late Stage Venture",Venture Capital,6,15,Active
ea512f8f-810e-434e-b61b-dcd620fd9056,Quarry,company,,Venture Capital,,quarry.vc,quarry.vc,,,"San Francisco, California, United States","San Francisco, California, United States",VC Founds - Seed - US/Europe,Jan-2018,Venture,Venture Capital,3,20,Active
b392751f-2390-4282-a3bf-93f29e471ed4,Quiet Capital,company,,"Financial Services, Internet, IT Infrastructure, Venture Capital",,https://www.quiet.com/,https://www.quiet.com/,,,"San Francisco, California","San Francisco, California","All VCs ,VC Founds - Seed - US/Europe",Jan-2017,"Early Stage Venture, Late Stage Venture, Seed, Venture",Venture Capital,24,345,Active
ecca4dc2-336b-4a47-9e0f-b2180bcce722,R7 Partners,company,,"AgTech, Air Transportation, Enterprise Software, Finance, FinTech, Robotics, Transportation",,https://r7.vc/,https://r7.vc/,,,Chicago,Chicago,VC Founds - Seed - US/Europe,Jan-2014,"Early Stage Venture, Seed","Private Equity Firm, Venture Capital",2,25,Active
54c4922e-ef8d-457f-8e23-85ec0e91412c,RA Capital Management,company,,"Biotechnology, Finance, Financial Services, Life Science, Medical",,https://www.racap.com/,https://www.racap.com/,,,"Boston, Massachusetts, United States","Boston, Massachusetts, United States",VC Founds - Seed - US/Europe,Jan-2001,"Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity","Private Equity Firm, Venture Capital",175,386,Active
86298e8f-4d44-4023-ba2e-2553561a9703,Radian Capital,company,,"Business Development, Consulting, Management Information Systems",,radiancapital.com,radiancapital.com,,,"New York, New York, United States","New York, New York, United States","All VCs ,VC Founds - Seed - US/Europe",Feb-2016,,Venture Capital,5,22,Active
dc6a199f-c3b5-4ca4-9d6a-1eb07cd9c1e4,Radical Ventures,company,,"Finance, Financial Services, Venture Capital",,https://radical.vc/,https://radical.vc/,,,"661 University Ave #470, Toronto, ON M5G 1M1, Canada","661 University Ave #470, Toronto, ON M5G 1M1, Canada","All VCs ,VC Founds - Seed - US/Europe",Jan-2017,"Early Stage Venture, Seed, Venture",Venture Capital,5,73,Active
7fc0480d-c7f9-4f0b-9599-899552be5d2e,Radius Ventures,company,,"Finance, Financial Services, Venture Capital",,radiusventures.com,radiusventures.com,,,"New York, New York, United States","New York, New York, United States","All VCs ,VC Founds - Seed - US/Europe",Jan-1997,"Early Stage Venture, Late Stage Venture",Venture Capital,16,46,Active
16cc8b0a-2c67-4c4d-aeba-dfc62f4aa376,Raga Partners,company,,"Finance, Financial Services, Venture Capital",,linkedin.com/company/ragapartners,linkedin.com/company/ragapartners,,,"New York, New York, United States","New York, New York, United States",VC Founds - Seed - US/Europe,Jan-2013,Early Stage Venture,Venture Capital,,12,Active
c29f91f4-9a9b-477e-a4cb-14b413a27e39,Rainfall Ventures,company,,Venture Capital,,rainfall.com,rainfall.com,,,"New York, New York, United States","New York, New York, United States","All VCs ,VC Founds - Seed - US/Europe",Jan-2011,"Convertible Note, Early Stage Venture, Seed, Venture",Venture Capital,23,100,Active
d07286e0-7aa1-46d9-9066-87dc373cdb2e,Rally Ventures,company,,"Finance, Financial Services, Venture Capital",,rallyventures.com,rallyventures.com,,,"Menlo Park, California, United States","Menlo Park, California, United States","All VCs ,VC Founds - Seed - US/Europe",Jan-2012,"Early Stage Venture, Seed",Venture Capital,26,129,Active
22908557-ca1e-41ad-bf16-96eff2f58bfd,REDO Ventures,company,,"Financial Services, Impact Investing, Venture Capital",,redoventures.com,redoventures.com,,,"West New York, New Jersey, United States","West New York, New Jersey, United States",VC Founds - Seed - US/Europe,Jan-2017,Early Stage Venture,Venture Capital,1,13,Active
ff07172a-b53c-43ca-8905-c4c76fddd499,Redseed,company,,Venture Capital,,redseed.vc,redseed.vc,,,,,VC Founds - Seed - US/Europe,Jan-2015,"Early Stage Venture, Seed",Venture Capital,,12,Active
441ce2b7-0e2d-4b02-ab72-93fa142e13d8,Refinery Ventures,company,,"Information Technology, Venture Capital",,refinery.com,refinery.com,,,"Cincinnati, Ohio, United States","Cincinnati, Ohio, United States",VC Founds - Seed - US/Europe,Jan-2017,Early Stage Venture,Venture Capital,2,20,Active
2d259bb5-bec5-40d1-add0-71113040d310,Revolution,company,,"Business Development, Finance, Financial Services, Venture Capital",,https://www.revolution.com/,https://www.revolution.com/,,,"Washington, District of Columbia, United States","Washington, District of Columbia, United States","All VCs ,VC Founds - Seed - US/Europe",Apr-2005,"Early Stage Venture, Late Stage Venture, Seed",Venture Capital,67,262,Active
5e387bed-66f5-48a4-a466-0d18346bd2cb,Rho Capital Partners,company,,"Finance, Financial Services, Venture Capital",,https://www.rho.com/,https://www.rho.com/,,,"New York, New York, United States","New York, New York, United States","All VCs ,VC Founds - Seed - US/Europe",Jan-1981,"Early Stage Venture, Late Stage Venture, Private Equity","Private Equity Firm, Venture Capital",43,113,Active
d843bbd2-6d1f-4c5d-b4ab-601c9d42a44b,Richmond View Ventures,company,,"B2B, B2C, Financial Services, Internet",,https://rvv.tv,https://rvv.tv,,,Mehringdamm 55 -  10961 Berlin,Mehringdamm 55 -  10961 Berlin,VC Founds - Seed - US/Europe,Jan-2007,,Angel Group,3,11,Active
abe70e38-74a9-42ef-ad4d-5dd22cab9459,RiverVest,company,,"Business Development, Finance, Financial Services, Venture Capital",,linkedin.com/company/2514161,linkedin.com/company/2514161,,,"St Louis, Missouri, United States","St Louis, Missouri, United States",VC Founds - Seed - US/Europe,Jan-2000,"Early Stage Venture, Late Stage Venture",Venture Capital,27,85,Active
2fcdf1ad-934e-4e0a-81d5-28c5f4aba0d6,RKKVC,company,,,,linkedin.com/company/rkkvc/?originalSubdomain=pl,linkedin.com/company/rkkvc/?originalSubdomain=pl,,,"Warszawa, Mazowieckie, Poland","Warszawa, Mazowieckie, Poland",VC Founds - Seed - US/Europe,Jan-2020,"Early Stage Venture, Late Stage Venture, Seed, Venture",Venture Capital,1,15,Active
43f0d4ca-aa3c-4192-bc87-6379e8038dbb,Robin Hood Ventures,company,,Enterprise Software,,http://www.robinhoodventures.com/,http://www.robinhoodventures.com/,,,"Philadelphia, Pennsylvania, United States","Philadelphia, Pennsylvania, United States",VC Founds - Seed - US/Europe,Jan-1999,"Early Stage Venture, Late Stage Venture, Seed",Angel Group,14,132,Active
fcec16ee-a264-44cc-81f2-ce39454b0ebe,Rock Creek Capital,company,,"Finance, Financial Services, Venture Capital",,rockcreekcapllc.com,rockcreekcapllc.com,,,"Jacksonville, Florida, United States","Jacksonville, Florida, United States","All VCs ,VC Founds - Seed - US/Europe",Feb-2019,"Early Stage Venture, Private Equity","Private Equity Firm, Venture Capital",3,14,Active
26995bdf-a673-4e8d-a480-7bddb1dc714f,Rocketship.vc,company,,"Finance, Financial Services, Venture Capital",,linkedin.com/company/rocketship-vc,linkedin.com/company/rocketship-vc,,,"Los Altos, California, United States","Los Altos, California, United States",VC Founds - Seed - US/Europe,Jan-2013,Early Stage Venture,Venture Capital,9,80,Active
d7205d03-4e3a-4682-8d9e-da99973607ef,Rock Health Capital,company,,"Health Care, Venture Capital",,linkedin.com/company/rock-health-capital,linkedin.com/company/rock-health-capital,,,"San Francisco, California, United States","San Francisco, California, United States",VC Founds - Seed - US/Europe,Jan-2010,"Early Stage Venture, Seed, Venture",Venture Capital,22,107,Active
96df2dd7-944e-4312-988c-e3f8dfefc5d2,Rogue Insight Capital,company,,,,linkedin.com/company/rogue-insight-capital-ltd,linkedin.com/company/rogue-insight-capital-ltd,,,"Markham, Ontario, Canada","Markham, Ontario, Canada",VC Founds - Seed - US/Europe,Jan-2017,Early Stage Venture,Venture Capital,4,18,Active
62d04c31-9cfe-4baf-8e31-3cce50c1c3fd,Root and Shoot Ventures,company,,Venture Capital,,rs.ventures,rs.ventures,,,"Los Angeles, California, United States","Los Angeles, California, United States",VC Founds - Seed - US/Europe,Oct-2020,,Venture Capital,1,34,Active
1b483d89-3bd8-4dab-8519-44d15eb4f0dd,Rosecliff Ventures,company,,"Finance, Financial Services, Venture Capital",,https://rosecliff.com/,https://rosecliff.com/,,,"767 5th Ave, New York, New York 10022, US","767 5th Ave, New York, New York 10022, US","All VCs ,VC Founds - Seed - US/Europe",Jan-2016,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market, Seed","Private Equity Firm, Venture Capital",8,69,Active
b0851988-5e96-42d5-b3b2-17959b323ea9,RSE Ventures,company,,"Consumer, Digital Media, Food and Beverage, Lifestyle, Marketing, Media and Entertainment, Sports",,rseventures.com,rseventures.com,,,"New York, NY, USA","New York, NY, USA",VC Founds - Seed - US/Europe,Jan-2012,"Late Stage Venture, Venture","Incubator, Private Equity Firm, Venture Capital",14,41,Active
614620f6-ced1-4846-89b5-3ed62d61e996,RTP Global,company,,"Finance, FinTech, Information Technology, Venture Capital",,linkedin.com/company/rtp-global-vc/,linkedin.com/company/rtp-global-vc/,,,"London, England, United Kingdom","London, England, United Kingdom","All VCs ,VC Founds - Seed - US/Europe",Jan-2000,"Early Stage Venture, Seed",Venture Capital,25,203,Active
517b060c-6741-487c-8e37-01c726b3a888,Rubicon Venture Capital,company,,"Finance, Financial Services, SaaS, Venture Capital",,rubicon.vc,rubicon.vc,,,"San Francisco, California, United States","San Francisco, California, United States",VC Founds - Seed - US/Europe,Dec-2013,"Early Stage Venture, Venture",Micro VC,7,49,Active
c0402a8b-16f2-4f0c-8a21-fe11f70cf14f,Runa Capital,company,,"Finance, FinTech, Machine Learning, SaaS, Venture Capital",,http://www.runacap.com/,http://www.runacap.com/,,,"459 Hamilton Avenue, Office #306, Palo Alto, CA 94301, US","459 Hamilton Avenue, Office #306, Palo Alto, CA 94301, US","All VCs ,VC Founds - Seed - US/Europe",Jan-2010,"Early Stage Venture, Late Stage Venture",Venture Capital,24,148,Active
6c7d66b4-0b18-4456-809d-5e7ebbd1f197,Runway Venture Partners,company,,,,runwayvp.com,runwayvp.com,,,"New York, New York, United States","New York, New York, United States","All VCs ,VC Founds - Seed - US/Europe",Jan-2016,Early Stage Venture,Venture Capital,14,39,Active
65104e7c-a498-4bf2-a21c-f3e525bb299a,s16vc,company,,,,s16vc.com,s16vc.com,,,"Amsterdam, Noord-Holland, The Netherlands","Amsterdam, Noord-Holland, The Netherlands",VC Founds - Seed - US/Europe,Jan-2020,Early Stage Venture,Angel Group,2,56,Active
459dd509-e2b7-4490-be03-6a59d7908152,Saban Ventures,company,,"Finance, Financial Services, Venture Capital",,https://www.sabanventures.com/,https://www.sabanventures.com/,,,USA,USA,VC Founds - Seed - US/Europe,Jan-2008,"Early Stage Venture, Late Stage Venture",Venture Capital,5,26,Active
a7d215fa-a7cf-4f56-8db1-94f1cf5e8acd,Safar Partners,company,,Venture Capital,,https://www.safar.partners/,https://www.safar.partners/,,,"One Broadway, 14th floor,  Cambridge, MA 02142, USA","One Broadway, 14th floor,  Cambridge, MA 02142, USA","All VCs ,VC Founds - Seed - US/Europe",Jan-2019,"Early Stage Venture, Late Stage Venture, Seed, Venture","Private Equity Firm, Venture Capital",2,55,Active
af66390c-91ae-4fa8-b28d-b47779c6f30f,Samsara BioCapital,company,,"Business Development, Consulting, Financial Services",,linkedin.com/company/samsara-biocapital,linkedin.com/company/samsara-biocapital,,,"Palo Alto, California, United States","Palo Alto, California, United States","All VCs ,VC Founds - Seed - US/Europe",Sep-2016,"Early Stage Venture, Late Stage Venture",Venture Capital,52,125,Active
86e4cb56-1410-42a4-9a82-09e15c0bf09c,Samsung NEXT,company,,"Information Technology, Internet of Things, Software, Venture Capital",,linkedin.com/company/samsung-next,linkedin.com/company/samsung-next,,,"Mountain View, California, United States","Mountain View, California, United States",VC Founds - Seed - US/Europe,Jul-2013,"Early Stage Venture, Seed","Corporate Venture Capital, Venture Capital",32,319,Active
189338ee-a987-4aab-81f6-e1c7c6585720,Sand Hill Angels,company,,"Angel Investment, Finance, Financial Services, Venture Capital",,http://www.sandhillangels.com/,http://www.sandhillangels.com/,,,"Mountain View, California, United States","Mountain View, California, United States",VC Founds - Seed - US/Europe,Jan-2000,"Early Stage Venture, Late Stage Venture, Seed",Angel Group,74,721,Active
ced4520a-ddb9-471a-a0cd-5ebc5173fdce,Sanofi Ventures,company,johrenk7@gmail.com,Sanofi Ventures operates as the corporate venture capital arm of Sanofi.,johrenk7@gmail.com,http://sanofiventures.com/,http://sanofiventures.com/,,,France,France,"Corporate Venture Arms,VC Founds - Seed - US/Europe",Jan-2001,"Early Stage Venture, Late Stage Venture, Seed",Corporate Venture Capital,21,84,Active
4ba8d752-75e0-485b-ae08-0e5f50300ca7,Sante Ventures,company,,"Biotechnology, Health Care, Venture Capital",,linkedin.com/company/sant-ventures,linkedin.com/company/sant-ventures,,,"Austin, Texas, United States","Austin, Texas, United States","All VCs ,VC Founds - Seed - US/Europe",Jun-2006,"Early Stage Venture, Late Stage Venture",Venture Capital,13,85,Active
a4134759-c973-4349-97da-46935683655d,SciFi VC,company,,"Business Development, Financial Services, Venture Capital",,https://www.linkedin.com/company/17915047,https://www.linkedin.com/company/17915047,,,"San Francisco, California, United States","San Francisco, California, United States","All VCs ,VC Founds - Seed - US/Europe",Jan-2011,Early Stage Venture,Venture Capital,3,63,Active
